Curs escolar,Codi_centre,Nom_centre,Municipi,Unitats concertades - EINF,Unitats concertades - PRI,Unitats concertades - ESO,Unitats concertades - EdE,Unitats concertades - BATX,Unitats concertades - CFPM,Unitats concertades -CFPS,Alumnes - EINF,Alumnes - PRI,Alumnes - ESO,Alumnes - EdE,Alumnes - BATX,Alumnes - CFPM,Alumnes - CFPS,Dotació plantilla,Nòmina del personal del centre,Seg.Social,Despeses de funcionament,Total Alumnes,MUNICIPI,NOM_CAPITAL,COMARCA,PROVINCIA,CENS
2017-2018,8000131,La Presentació,Arenys de Mar,5.0,12.0,12.0,0.0,4.0,0.0,0.0,104.0,306.0,310.0,0.0,117.0,0.0,0.0,50.4,1875775.62,579614.67,222617.76,837.0,Arenys de Mar,Arenys de Mar,Maresme,Barcelona,16155.0
2018-2019,8000131,La Presentació,Arenys de Mar,4.0,12.0,12.0,0.0,4.0,0.0,0.0,95.0,298.0,307.0,0.0,124.0,0.0,0.0,49.89,1911545.2,590667.47,234189.43,824.0,Arenys de Mar,Arenys de Mar,Maresme,Barcelona,16155.0
2019-2020,8000131,La Presentació,Arenys de Mar,5.0,12.0,12.0,0.0,4.0,0.0,0.0,112.0,279.0,334.0,0.0,120.0,0.0,0.0,51.4,2067246.37,649115.36,236958.86,845.0,Arenys de Mar,Arenys de Mar,Maresme,Barcelona,16155.0
2020-2021,8000131,La Presentació,Arenys de Mar,5.0,12.0,12.0,0.0,4.0,0.0,0.0,89.0,284.0,335.0,0.0,134.0,0.0,0.0,54.4,2213066.24,694902.8,267846.72,842.0,Arenys de Mar,Arenys de Mar,Maresme,Barcelona,16155.0
2021-2022,8000131,La Presentació,Arenys de Mar,6.0,12.0,12.0,0.0,4.0,0.0,0.0,98.0,277.0,340.0,0.0,131.0,0.0,0.0,54.56,2368264.88,743635.17,296436.05,846.0,Arenys de Mar,Arenys de Mar,Maresme,Barcelona,16155.0
2017-2018,8000220,Vedruna,Artés,2.0,6.0,3.0,0.0,0.0,0.0,0.0,50.0,123.0,86.0,0.0,0.0,0.0,0.0,17.04,607776.6,187802.97,75347.57,259.0,Artés,Artés,Bages,Barcelona,5902.0
2018-2019,8000220,Vedruna,Artés,3.0,6.0,3.0,0.0,0.0,0.0,0.0,51.0,125.0,85.0,0.0,0.0,0.0,0.0,18.04,671241.27,207413.55,82595.76,261.0,Artés,Artés,Bages,Barcelona,5902.0
2019-2020,8000220,Vedruna Artés,Artés,2.0,6.0,3.0,0.0,0.0,0.0,0.0,47.0,127.0,96.0,0.0,0.0,0.0,0.0,19.54,733195.42,230223.36,76329.43,270.0,Artés,Artés,Bages,Barcelona,5902.0
2020-2021,8000220,Vedruna Artés,Artés,1.0,6.0,4.0,0.0,0.0,0.0,0.0,42.0,124.0,102.0,0.0,0.0,0.0,0.0,21.22,785632.14,246688.49,85397.77,268.0,Artés,Artés,Bages,Barcelona,5902.0
2021-2022,8000220,Vedruna Artés,Artés,0.0,6.0,4.0,0.0,0.0,0.0,0.0,34.0,122.0,105.0,0.0,0.0,0.0,0.0,20.22,839912.85,263732.63,82039.99,261.0,Artés,Artés,Bages,Barcelona,5902.0
2017-2018,8000499,Sant Domènec Savio,Badalona,9.0,18.0,12.0,0.0,0.0,6.0,0.0,204.0,457.0,349.0,0.0,0.0,126.0,0.0,68.79,2488237.42,768865.36,337292.23,1136.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8000517,Sant Andreu,Badalona,9.0,18.0,12.0,0.0,0.0,0.0,0.0,200.0,461.0,354.0,0.0,0.0,0.0,0.0,57.16,2058083.26,635947.73,263437.47,1015.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8000578,Nen Jesús de Praga,Badalona,3.0,6.0,4.0,0.0,0.0,0.0,0.0,59.0,159.0,123.0,0.0,0.0,0.0,0.0,19.72,751687.93,232271.57,87104.33,341.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8000608,Montserrat,Badalona,3.0,6.0,0.0,0.0,0.0,0.0,0.0,71.0,144.0,0.0,0.0,0.0,0.0,0.0,13.0,446602.36,138000.13,53773.2,215.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8000670,Mare de Déu de la Salut,Badalona,3.0,6.0,0.0,0.0,0.0,0.0,0.0,72.0,158.0,0.0,0.0,0.0,0.0,0.0,13.0,429077.23,132584.86,52894.51,230.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8000700,Maristes Champagnat,Badalona,7.0,18.0,12.0,0.0,0.0,0.0,0.0,163.0,459.0,343.0,0.0,0.0,0.0,0.0,52.33,1927439.93,595578.94,250742.09,965.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8000712,Llefià,Badalona,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,88.0,94.0,13.61,496726.12,153488.37,68967.13,182.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8000761,Badalonès,Badalona,9.0,18.0,12.0,0.0,6.0,2.0,0.0,220.0,467.0,366.0,0.0,204.0,60.0,0.0,70.22,2561536.87,791514.89,317779.42,1317.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8000827,Jesús Maria,Badalona,6.0,12.0,8.0,0.0,0.0,0.0,0.0,139.0,310.0,234.0,0.0,0.0,0.0,0.0,37.68,1442926.73,445864.36,170377.83,683.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8000864,Cultural,Badalona,6.0,12.0,8.0,0.0,0.0,0.0,0.0,139.0,297.0,221.0,0.0,0.0,0.0,0.0,37.68,1392244.01,430203.4,172541.58,657.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8000918,Cultural,Badalona,6.0,12.0,12.0,0.0,8.0,2.0,4.0,132.0,307.0,355.0,0.0,271.0,61.0,114.0,69.84,2610342.45,806595.82,300026.66,1240.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8000921,Arrels-Esperança,Badalona,12.0,22.0,12.0,0.0,0.0,0.0,0.0,301.0,573.0,325.0,0.0,0.0,0.0,0.0,63.16,2242144.27,692822.58,297614.38,1199.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8000943,Garbí Pere Vergés,Badalona,6.0,12.0,6.0,0.0,0.0,0.0,0.0,153.0,328.0,272.0,0.0,0.0,0.0,0.0,34.26,1161581.67,358928.74,167389.7,753.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8000967,Betúlia,Badalona,2.0,6.0,4.0,0.0,0.0,0.0,0.0,62.0,163.0,116.0,0.0,0.0,0.0,0.0,18.72,689653.82,213103.03,81417.46,341.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8000979,López Torrejón,Badalona,2.0,6.0,0.0,0.0,0.0,0.0,0.0,59.0,145.0,0.0,0.0,0.0,0.0,0.0,12.0,405031.2,125154.64,47798.4,204.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8000980,Ramiro de Maeztu,Badalona,3.0,6.0,4.0,0.0,0.0,0.0,0.0,59.0,154.0,111.0,0.0,0.0,0.0,0.0,19.72,683728.54,211272.12,86454.24,324.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8001029,Boix,Badalona,2.0,6.0,4.0,0.0,0.0,0.0,0.0,63.0,146.0,117.0,0.0,0.0,0.0,0.0,18.72,666299.54,205886.56,80136.58,326.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8001030,Cultural Fluvià,Badalona,3.0,6.0,0.0,0.0,0.0,0.0,0.0,74.0,160.0,0.0,0.0,0.0,0.0,0.0,13.0,447442.28,138259.66,55895.62,234.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8001066,Maria Ward,Badalona,6.0,12.0,8.0,0.0,0.0,0.0,0.0,145.0,298.0,219.0,0.0,0.0,0.0,0.0,37.68,1353776.56,418316.96,175315.95,662.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8001108,Mare de Déu de l'Assumpció,Badalona,9.0,18.0,12.0,0.0,6.0,0.0,0.0,215.0,453.0,368.0,0.0,219.0,0.0,0.0,68.36,2650330.0,818951.97,291165.41,1255.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8001133,Arrels-Blanquerna,Badalona,3.0,6.0,4.0,0.0,0.0,0.0,0.0,71.0,158.0,126.0,0.0,0.0,0.0,0.0,19.72,710625.72,219583.35,85810.69,355.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8001145,Lestonnac,Badalona,6.0,12.0,8.0,0.0,0.0,0.0,0.0,118.0,276.0,214.0,0.0,0.0,0.0,0.0,41.68,1529543.0,472628.79,175156.88,608.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8001157,Minguella,Badalona,6.0,12.0,8.0,0.0,0.0,0.0,0.0,120.0,302.0,235.0,0.0,0.0,0.0,0.0,37.68,1355180.2,418750.68,172908.48,657.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8001170,Santíssima Trinitat,Badalona,3.0,7.0,4.0,0.0,0.0,0.0,0.0,75.0,175.0,107.0,0.0,0.0,0.0,0.0,20.72,789495.46,243954.1,92429.04,357.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8001297,Laietània,Badalona,3.0,6.0,4.0,0.0,0.0,0.0,0.0,69.0,154.0,125.0,0.0,0.0,0.0,0.0,19.72,721602.11,222975.05,86454.24,348.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8034916,Joan Maragall,Badalona,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,122.0,151.0,0.0,19.1,719201.45,222233.25,95570.13,273.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2018-2019,8000499,Sant Domènec Savio,Badalona,9.0,18.0,12.0,0.0,0.0,6.0,0.0,198.0,452.0,357.0,0.0,0.0,133.0,0.0,69.18,2637356.41,814943.13,346310.19,1140.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2018-2019,8000517,Sant Andreu,Badalona,9.0,18.0,12.0,0.0,0.0,0.0,0.0,203.0,453.0,354.0,0.0,0.0,0.0,0.0,57.16,2151720.26,664881.56,272347.09,1010.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2018-2019,8000578,Nen Jesús de Praga,Badalona,3.0,6.0,4.0,0.0,0.0,0.0,0.0,57.0,156.0,124.0,0.0,0.0,0.0,0.0,19.72,788756.8,243725.85,90429.75,337.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2018-2019,8000608,Montserrat,Badalona,3.0,6.0,0.0,0.0,0.0,0.0,0.0,74.0,148.0,0.0,0.0,0.0,0.0,0.0,13.0,467359.67,144414.14,56252.15,222.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2018-2019,8000670,Mare de Déu de la Salut,Badalona,3.0,6.0,0.0,0.0,0.0,0.0,0.0,74.0,156.0,0.0,0.0,0.0,0.0,0.0,13.0,442831.52,136834.94,56345.28,230.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2018-2019,8000700,Maristes Champagnat,Badalona,7.0,18.0,12.0,0.0,0.0,0.0,0.0,153.0,453.0,344.0,0.0,0.0,0.0,0.0,52.33,1985192.2,613424.39,256663.48,950.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2018-2019,8000712,Llefià,Badalona,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,86.0,86.0,13.44,504343.14,155842.03,73320.0,172.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2018-2019,8000761,Badalonès,Badalona,9.0,18.0,12.0,0.0,6.0,2.0,0.0,223.0,475.0,367.0,0.0,213.0,58.0,0.0,69.62,2679389.89,827931.48,328484.71,1336.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2018-2019,8000827,Jesús Maria,Badalona,6.0,12.0,8.0,0.0,0.0,0.0,0.0,152.0,302.0,235.0,0.0,0.0,0.0,0.0,37.68,1472088.46,454875.33,182754.02,689.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2018-2019,8000864,Cultural,Badalona,6.0,12.0,8.0,0.0,0.0,0.0,0.0,143.0,296.0,226.0,0.0,0.0,0.0,0.0,37.68,1462295.15,451849.2,182308.63,665.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2018-2019,8000918,Cultural,Badalona,6.0,12.0,12.0,0.0,8.0,2.0,4.0,136.0,302.0,362.0,0.0,211.0,58.0,101.0,69.84,2703537.77,835393.17,322201.1,1170.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2018-2019,8000921,Arrels-Esperança,Badalona,12.0,23.0,12.0,0.0,0.0,0.0,0.0,294.0,587.0,333.0,0.0,0.0,0.0,0.0,64.16,2358940.61,728912.65,319847.62,1214.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2018-2019,8000943,Garbí Pere Vergés,Badalona,6.0,12.0,8.0,0.0,0.0,0.0,0.0,142.0,330.0,233.0,0.0,0.0,0.0,0.0,37.68,1363066.24,421187.47,181744.5,705.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2018-2019,8000967,Betúlia,Badalona,2.0,6.0,4.0,0.0,0.0,0.0,0.0,64.0,158.0,118.0,0.0,0.0,0.0,0.0,18.72,734370.8,226920.58,83945.04,340.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2018-2019,8000979,López Torrejón,Badalona,2.0,6.0,0.0,0.0,0.0,0.0,0.0,55.0,146.0,0.0,0.0,0.0,0.0,0.0,12.0,419958.19,129767.08,49857.28,201.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2018-2019,8000980,Ramiro de Maeztu,Badalona,3.0,6.0,4.0,0.0,0.0,0.0,0.0,70.0,149.0,114.0,0.0,0.0,0.0,0.0,19.72,708879.2,219043.67,92243.48,333.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2018-2019,8001029,Boix,Badalona,3.0,6.0,4.0,0.0,0.0,0.0,0.0,56.0,152.0,117.0,0.0,0.0,0.0,0.0,19.72,747894.46,231099.39,91424.16,325.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2018-2019,8001030,Cultural Fluvià,Badalona,3.0,6.0,0.0,0.0,0.0,0.0,0.0,72.0,156.0,0.0,0.0,0.0,0.0,0.0,13.0,484178.68,149611.21,59630.21,228.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2018-2019,8001066,Maria Ward,Badalona,6.0,12.0,8.0,0.0,0.0,0.0,0.0,148.0,303.0,218.0,0.0,0.0,0.0,0.0,37.68,1371132.43,423679.92,179469.53,669.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2018-2019,8001108,Mare de Déu de l'Assumpció,Badalona,9.0,18.0,12.0,0.0,6.0,0.0,0.0,200.0,461.0,356.0,0.0,199.0,0.0,0.0,67.355,2668808.59,824661.85,310059.41,1216.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2018-2019,8001133,Arrels-Blanquerna,Badalona,3.0,6.0,4.0,0.0,0.0,0.0,0.0,70.0,159.0,112.0,0.0,0.0,0.0,0.0,19.72,727675.3,224851.67,90715.63,341.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2018-2019,8001145,Lestonnac,Badalona,6.0,12.0,8.0,0.0,0.0,0.0,0.0,118.0,282.0,216.0,0.0,0.0,0.0,0.0,41.68,1563099.25,482997.67,180809.13,616.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2018-2019,8001157,Minguella,Badalona,6.0,12.0,8.0,0.0,0.0,0.0,0.0,109.0,302.0,232.0,0.0,0.0,0.0,0.0,37.68,1414071.48,436948.09,180226.51,643.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2018-2019,8001170,Santíssima Trinitat,Badalona,3.0,7.0,4.0,0.0,0.0,0.0,0.0,73.0,180.0,111.0,0.0,0.0,0.0,0.0,20.72,821535.88,253854.59,96409.36,364.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2018-2019,8001297,Laietània,Badalona,3.0,6.0,4.0,0.0,0.0,0.0,0.0,73.0,153.0,129.0,0.0,0.0,0.0,0.0,19.72,716525.05,221406.24,89976.67,355.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2018-2019,8034916,Joan Maragall,Badalona,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,125.0,168.0,0.0,19.88,768570.14,237488.17,100216.72,293.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2019-2020,8000499,Sant Domènec Savio,Badalona,8.0,18.0,12.0,0.0,0.0,6.0,0.0,185.0,447.0,358.0,0.0,0.0,131.0,0.0,67.52,2780669.45,873130.21,352211.4,1121.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2019-2020,8000517,Sant Andreu,Badalona,9.0,18.0,12.0,0.0,0.0,0.0,0.0,203.0,450.0,356.0,0.0,0.0,0.0,0.0,57.16,2259421.77,709458.44,281822.76,1009.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2019-2020,8000578,Nen Jesús de Praga,Badalona,3.0,6.0,4.0,0.0,0.0,0.0,0.0,62.0,150.0,118.0,0.0,0.0,0.0,0.0,19.72,857822.49,269356.26,92410.34,330.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2019-2020,8000608,Montserrat,Badalona,3.0,6.0,0.0,0.0,0.0,0.0,0.0,73.0,149.0,0.0,0.0,0.0,0.0,0.0,13.0,511552.63,160627.53,57182.59,222.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2019-2020,8000670,Mare de Déu de la Salut,Badalona,3.0,6.0,0.0,0.0,0.0,0.0,0.0,74.0,157.0,0.0,0.0,0.0,0.0,0.0,13.0,489166.65,153598.33,56886.45,231.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2019-2020,8000700,Maristes Champagnat,Badalona,6.0,18.0,12.0,0.0,0.0,0.0,0.0,148.0,440.0,351.0,0.0,0.0,0.0,0.0,51.16,2113602.05,663671.04,262115.43,939.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2019-2020,8000712,Llefià,Badalona,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,94.0,91.0,14.32,586660.29,184211.33,72925.85,185.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2019-2020,8000761,Badalonès,Badalona,9.0,18.0,12.0,0.0,6.0,2.0,0.0,214.0,464.0,368.0,0.0,198.0,59.0,0.0,70.12,2854086.68,896183.22,343421.93,1303.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2019-2020,8000827,Jesús Maria,Badalona,6.0,12.0,8.0,0.0,0.0,0.0,0.0,148.0,305.0,238.0,0.0,0.0,0.0,0.0,37.68,1579761.44,496045.09,189153.33,691.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2019-2020,8000864,Cultural,Badalona,6.0,12.0,8.0,0.0,0.0,0.0,0.0,140.0,298.0,215.0,0.0,0.0,0.0,0.0,37.68,1510014.85,474144.66,192934.82,653.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2019-2020,8000918,Cultural,Badalona,6.0,12.0,12.0,0.0,8.0,2.0,4.0,127.0,295.0,358.0,0.0,276.0,56.0,109.0,69.84,2840554.48,891934.11,324218.27,1221.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2019-2020,8000921,Arrels-Esperança,Badalona,12.0,24.0,12.0,0.0,0.0,0.0,0.0,272.0,611.0,352.0,0.0,0.0,0.0,0.0,65.16,2528518.7,793954.87,333143.6,1235.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2019-2020,8000943,Garbí Pere Vergés,Badalona,6.0,12.0,8.0,0.0,0.0,0.0,0.0,148.0,326.0,244.0,0.0,0.0,0.0,0.0,37.68,1410514.5,442901.55,183265.42,718.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2019-2020,8000967,Betúlia,Badalona,2.0,6.0,4.0,0.0,0.0,0.0,0.0,68.0,155.0,119.0,0.0,0.0,0.0,0.0,18.72,763240.63,239657.56,85381.95,342.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2019-2020,8000979,López Torrejón,Badalona,2.0,6.0,0.0,0.0,0.0,0.0,0.0,54.0,146.0,0.0,0.0,0.0,0.0,0.0,12.0,433707.66,136184.21,51384.86,200.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2019-2020,8000980,Ramiro de Maeztu,Badalona,3.0,6.0,4.0,0.0,0.0,0.0,0.0,73.0,154.0,116.0,0.0,0.0,0.0,0.0,19.72,773924.6,243012.32,91690.91,343.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2019-2020,8001029,Boix,Badalona,2.0,6.0,4.0,0.0,0.0,0.0,0.0,49.0,144.0,113.0,0.0,0.0,0.0,0.0,18.72,752291.09,236219.4,85452.22,306.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2019-2020,8001030,Cultural Fluvià,Badalona,3.0,6.0,0.0,0.0,0.0,0.0,0.0,64.0,155.0,0.0,0.0,0.0,0.0,0.0,13.0,511733.81,160684.42,57454.91,219.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2019-2020,8001066,Maria Ward,Badalona,6.0,12.0,8.0,0.0,0.0,0.0,0.0,150.0,303.0,221.0,0.0,0.0,0.0,0.0,37.68,1473464.51,462667.86,189563.44,674.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2019-2020,8001108,Mare de Déu de l'Assumpció,Badalona,9.0,18.0,12.0,0.0,6.0,0.0,0.0,212.0,453.0,358.0,0.0,198.0,0.0,0.0,67.355,2837588.84,891002.9,315186.4,1221.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2019-2020,8001133,Arrels-Blanquerna,Badalona,3.0,6.0,4.0,0.0,0.0,0.0,0.0,66.0,157.0,108.0,0.0,0.0,0.0,0.0,19.72,801129.72,251554.73,92128.69,331.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2019-2020,8001145,Lestonnac,Badalona,6.0,12.0,8.0,0.0,0.0,0.0,0.0,126.0,281.0,220.0,0.0,0.0,0.0,0.0,41.68,1667720.06,523664.1,189990.83,627.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2019-2020,8001157,Minguella,Badalona,6.0,12.0,8.0,0.0,0.0,0.0,0.0,117.0,295.0,230.0,0.0,0.0,0.0,0.0,37.68,1504814.12,472511.63,184625.1,642.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2019-2020,8001170,Santíssima Trinitat,Badalona,3.0,7.0,4.0,0.0,0.0,0.0,0.0,71.0,175.0,106.0,0.0,0.0,0.0,0.0,20.72,855383.08,268590.29,97999.87,352.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2019-2020,8001297,Laietània,Badalona,3.0,6.0,4.0,0.0,0.0,0.0,0.0,66.0,153.0,121.0,0.0,0.0,0.0,0.0,19.72,802680.39,252041.64,91690.91,340.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2019-2020,8034916,Joan Maragall,Badalona,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,109.0,164.0,0.0,19.88,834673.9,262087.6,100467.63,273.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2020-2021,8000499,Sant Domènec Savio,Badalona,8.0,18.0,12.0,0.0,0.0,6.0,0.0,181.0,443.0,352.0,0.0,0.0,152.0,0.0,72.16,2819684.39,885380.9,371007.77,1128.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2020-2021,8000517,Sant Andreu,Badalona,9.0,18.0,12.0,0.0,0.0,0.0,0.0,201.0,432.0,358.0,0.0,0.0,0.0,0.0,59.16,2339574.71,734626.46,296125.25,991.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2020-2021,8000578,Nen Jesús de Praga,Badalona,3.0,6.0,4.0,0.0,0.0,0.0,0.0,61.0,145.0,118.0,0.0,0.0,0.0,0.0,20.72,913273.55,286767.89,94851.96,324.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2020-2021,8000608,Montserrat,Badalona,3.0,6.0,0.0,0.0,0.0,0.0,0.0,66.0,147.0,0.0,0.0,0.0,0.0,0.0,14.0,567689.26,178254.43,59047.28,213.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2020-2021,8000670,Mare de Déu de la Salut,Badalona,3.0,6.0,0.0,0.0,0.0,0.0,0.0,71.0,150.0,0.0,0.0,0.0,0.0,0.0,14.0,489945.78,153842.97,69153.38,221.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2020-2021,8000700,Maristes Champagnat,Badalona,6.0,17.0,12.0,0.0,0.0,0.0,0.0,144.0,405.0,358.0,0.0,0.0,0.0,0.0,52.16,2186009.77,686407.07,266151.9,907.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2020-2021,8000712,Llefià,Badalona,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,97.0,89.0,14.32,569167.1,178718.47,78398.01,186.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2020-2021,8000761,Badalonès,Badalona,8.0,18.0,12.0,0.0,6.0,2.0,0.0,192.0,463.0,365.0,0.0,197.0,60.0,0.0,70.46,2864755.02,899533.08,339875.95,1277.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2020-2021,8000827,Jesús Maria,Badalona,6.0,12.0,8.0,0.0,0.0,0.0,0.0,144.0,303.0,229.0,0.0,0.0,0.0,0.0,41.68,1653174.22,519096.71,200003.36,676.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2020-2021,8000864,Cultural,Badalona,6.0,12.0,8.0,0.0,0.0,0.0,0.0,126.0,286.0,221.0,0.0,0.0,0.0,0.0,41.68,1613014.57,506486.57,214962.18,633.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2020-2021,8000918,Cultural,Badalona,6.0,12.0,12.0,0.0,8.0,2.0,4.0,127.0,294.0,358.0,0.0,278.0,59.0,101.0,71.84,2895210.39,909096.06,333318.93,1217.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2020-2021,8000921,Arrels-Esperança,Badalona,12.0,24.0,12.0,0.0,0.0,0.0,0.0,258.0,581.0,344.0,0.0,0.0,0.0,0.0,69.16,2756352.05,865494.54,369066.96,1183.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2020-2021,8000943,Garbí Pere Vergés,Badalona,6.0,12.0,8.0,0.0,0.0,0.0,0.0,147.0,314.0,240.0,0.0,0.0,0.0,0.0,38.68,1477391.46,463900.92,203596.59,701.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2020-2021,8000967,Betúlia,Badalona,3.0,6.0,4.0,0.0,0.0,0.0,0.0,74.0,149.0,119.0,0.0,0.0,0.0,0.0,20.72,833400.46,261687.74,111972.85,342.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2020-2021,8000979,López Torrejón,Badalona,3.0,6.0,0.0,0.0,0.0,0.0,0.0,52.0,133.0,0.0,0.0,0.0,0.0,0.0,14.0,482846.91,151613.93,64217.3,185.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2020-2021,8000980,Ramiro de Maeztu,Badalona,3.0,6.0,4.0,0.0,0.0,0.0,0.0,62.0,149.0,117.0,0.0,0.0,0.0,0.0,21.72,792918.73,248976.48,95950.36,328.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
